street,zip,city,name,cemetery_type,

"Schloss Wittgenstein 4","57334","Bad","Bad Laasphe","Diamond cremation"
"Auf dem Katzenberg","53902","Iversheim","Bad Münstereifel","Diamond cremation"
"Eichenfeldstraße,","30455","Hannover","Badenstedt (alt) a.D.","Cemetery burial"
"Im Born","30455","Hannover","Badenstedt (neu)","Cemetery burial"
"Holstenkamp 91","22525","Hamburg","Bahrenfeld-Holstenkamp","Cemetery burial"
"Barloer Ringstraße","46397","Bocholt","Barlo","Urn cremation"
"Lichtäcker 1","88213","Ravensburg","Bavendorf","Cemetery burial"
"St.-Kolumban-Straße 12","88213","Ravensburg","Bavendorf","Tree burial"
"Harpenstraße 26","45897","Gelsenkirchen","Beckhausen-Sutum","Cemetery burial"
"Hochmössinger Straße 8","78727","Oberndorf/ Neckar","Beffendorf","Cemetery burial"
"","96450","Coburg","Beiersdorf","Diamond cremation"
"","36251","Bad","Beiershausen","Cemetery burial"
"Hohenzollernstr. 32","76135","Karlsruhe","Beiertheim","Cemetery burial"
"Waiblinger Straße","71334","Waiblingen","Beinstein","Diamond cremation"
"Paulistr.","40597","Düsseldorf","Benrath","Tree burial"
"Im Dorfe","32758","Detmold","Bentrup","Cemetery burial"
"Kunzenweg 1a","79117","Freiburg","Bergäcker","Cemetery burial"
"August-Bebel-Straße 200","21029","Hamburg","Bergedorf (neu)","Cemetery burial"
"Marktstraße 87B","60388","Frankfurt/M.","Bergen","Urn cremation"
"Hackstraße 84","70190","Stuttgart","Bergfriedhof","Cemetery burial"
"Scheppener Weg","45239","Essen","Bergfriedhof","Cemetery burial"
"Remigiusgasse 1","86199","Augsburg","Bergheim","Cemetery burial"
"Volksdorfer Damm 261","22395","Hamburg","Bergstedt","Diamond cremation"
"Am Traubengarten 1","60435","Frankfurt/M.","Berkersheim","Cemetery burial"
"Brunnenstr.31/1","73734","Esslingen","Berkheim","Tree burial"
"Im Schlage","32760","Detmold","Berlebeck","Cemetery burial"
"Heinrichwingertsweg 63","64285","Darmstadt","Bessunger Friedhof","Cemetery burial"
"Tränkestraße","79114","Freiburg","Betzenhausen","Cemetery burial"
"Platanenweg","53225","Bonn","Beuel","Urn cremation"
"Bechtsbüttler Straße","38110","Braunschweig","Bevenrode","Tree burial"
"Zum Engel","39112","Magdeburg","Beyerndorf","Cemetery burial"
"Dietesheimer Straße 41","63073","Offenbach","Bieber","Urn cremation"
"Bernhard-May-Straße 26","65203","Wiesbaden","Biebrich","Tree burial"
"Altmarkstr. 22A","38110","Braunschweig","Bienrode","Tree burial"
"Am Wolfsfeld","65191","Wiesbaden","Bierstadt","Urn cremation"
"Biewerer Straße","54293","Trier","Biewer","Cemetery burial"
"Welfenstraße 31","70599","Stuttgart","Birkach","Cemetery burial"
"Sülldorfer Kirchenweg 151","22589","Hamburg","Blankenese","Cemetery burial"
"Sülldorfer Kirchenweg 151","22589","Hamburg","Blankenese","Diamond cremation"
"Harpener Str.1","44791","Bochum","Blumenstraße","Diamond cremation"
"Landrat-Christians-Str. 78","28779","Bremen","Blumenthal","Urn cremation"
"Neuenkirchner Weg","28779","Bremen","Blumenthal","Diamond cremation"
"Turnerstr.201","28779","Bremen","Blumenthal Waldfriedhof","Cemetery burial"
"Kaltenbergstraße 31","78727","Oberndorf/ Neckar","Bochingen","Urn cremation"
"Ginnheimer Landstraße 97","60487","Frankfurt/M.","Bockenheim","Urn cremation"
"Venloerstr. 1152","50829","Köln","Bocklemünd","Tree burial"
"Am Badezentrum 141","47800","Krefeld","Bockum","Tree burial"
"Bogenhauser Kirchplatz 1","81675","München","Bogenhausen","Diamond cremation"
"Eing. Mehringdamm 21","10961","Berlin","Böhmisch-luth.-Bethlehemsfriedhof 1","Cemetery burial"
